branch_id,branch_name
1,Lyon
2,Porto
3,Manama
4,Amsterdam
5,Bergen
6,Hamburg
7,London
8,Sarajevo
9,Los Angeles
10,Chisinau
11,Skopje
12,Berlin
13,Bologna
14,Marseille
15,Zagreb
16,Florence
17,Basel
18,Muscat
19,Sofia
20,Vilnius
21,Helsinki
22,Lisbon
23,Warsaw
24,Cairo
25,Odessa
26,Frankfurt
27,Baku
28,Zurich
29,Ashgabat
30,Budapest
31,Barcelona
32,Geneva
33,Ghent
34,Gothenburg
35,Podgorica
36,Naples
37,Cape Town
38,Stuttgart
39,Almaty
40,Istanbul
41,Tallinn
42,Stockholm
43,Krakow
44,Valencia
45,Vienna
46,Trondheim
47,The Hague
48,Rotterdam
49,Singapore
50,Athens
51,Johannesburg
52,Venice
53,Tokyo
54,Cologne
55,Chicago
56,Riga
57,Antwerp
58,Ljubljana
59,Melbourne
60,Utrecht
61,Brussels
62,Toronto
63,Dubai
64,Luxembourg
65,Yerevan
66,Hong Kong
67,Kiev
68,Nice
69,Doha
70,Madrid
71,New York
72,Jeddah
73,Lille
74,Kuwait City
75,Milan
76,Dushanbe
77,Copenhagen
78,Belgrade
79,Nur-Sultan
80,Bucharest
81,Malmo
82,Dublin
83,Oslo
84,Bishkek
85,Casablanca
86,Sydney
87,Turin
88,Tirana
89,Rome
90,Bratislava
91,Tashkent
92,Seoul
93,San Francisco
94,Munich
95,Prague
96,Reykjavik
97,Riyadh
98,Paris
99,Bangkok
